City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
236,Mbuyapey,PY,2023-01-29 08:33:21,-26.2,-56.75,73.72,67,52,2.3
237,Kargil,IN,2023-01-29 08:33:22,34.5667,76.1,21.87,88,100,2.93
238,Shache,CN,2023-01-29 08:33:23,38.4167,77.2406,28.71,57,9,3.62
239,Lima,PE,2023-01-29 08:30:08,-12.0432,-77.0282,71.91,82,20,8.05
240,Ubinskoye,RU,2023-01-29 08:33:25,55.3068,79.6802,16.79,94,100,9.86
241,Kahului,US,2023-01-29 08:33:26,20.8947,-156.47,71.83,88,100,8.01
242,Tyrma,RU,2023-01-29 08:33:26,50.0833,132.1667,-20.47,97,88,1.25
243,Katsuura,JP,2023-01-29 08:33:28,35.1333,140.3,44.62,57,83,2.86
244,Leningradskiy,RU,2023-01-29 08:33:29,69.3833,178.4167,6.1,85,3,5.82
245,Road Town,VG,2023-01-29 08:33:29,18.4167,-64.6167,75.29,71,68,21.5
246,Quelimane,MZ,2023-01-29 08:33:30,-17.8786,36.8883,91.35,62,40,6.91
247,Flinders,AU,2023-01-29 08:33:31,-34.5833,150.8552,77.38,86,100,7.61
248,Ust-Ishim,RU,2023-01-29 08:33:33,57.6935,71.1665,17.85,90,39,8.39
249,Port Macquarie,AU,2023-01-29 08:33:34,-31.4333,152.9167,76.89,81,92,13.85
250,Luderitz,NA,2023-01-29 08:33:35,-26.6481,15.1594,73.18,54,0,21.09
251,Bredasdorp,ZA,2023-01-29 08:33:36,-34.5322,20.0403,71.69,40,22,18.43
252,Havoysund,NO,2023-01-29 08:33:37,70.9963,24.6622,34.03,84,100,22.7
253,Kiunga,PG,2023-01-29 08:33:38,-6.1219,141.2906,80.17,87,100,2.19
254,Thinadhoo,MV,2023-01-29 08:33:39,0.5333,72.9333,81.91,73,29,13.33
255,Crawfordsville,US,2023-01-29 08:33:40,40.0411,-86.8745,42.94,81,100,13.8
256,Port Blair,IN,2023-01-29 08:33:41,11.6667,92.75,82.31,68,25,17.65
257,Nanortalik,GL,2023-01-29 08:33:42,60.1432,-45.2371,16.38,67,19,10.67
258,Scarborough,GB,2023-01-29 08:31:30,54.2797,-0.4044,40.93,87,98,5.99
259,Pacific Grove,US,2023-01-29 08:33:43,36.6177,-121.9166,50.67,76,100,7.0
260,Nagapattinam,IN,2023-01-29 08:33:44,10.7667,79.8333,81.36,67,82,16.08
261,Solnechnyy,RU,2023-01-29 08:33:44,50.7214,136.6319,-18.87,99,88,3.87
262,Henties Bay,NA,2023-01-29 08:33:46,-22.116,14.2845,68.56,74,64,7.85
263,Hambantota,LK,2023-01-29 08:33:47,6.1241,81.1185,89.94,55,20,9.22
264,Itupiranga,BR,2023-01-29 08:33:48,-5.1347,-49.3267,75.52,97,98,1.79
265,Tumen,CN,2023-01-29 08:33:49,42.9661,129.8425,12.85,96,100,2.73
266,Luwuk,ID,2023-01-29 08:33:50,-0.9516,122.7875,79.7,87,100,1.21
267,Nzerekore,GN,2023-01-29 08:33:51,7.7562,-8.8179,75.16,71,91,3.13
268,Ejido,VE,2023-01-29 08:33:52,8.5514,-71.2375,57.97,73,76,6.11
269,Sao Joao Da Barra,BR,2023-01-29 08:33:53,-21.6403,-41.0511,74.44,91,100,8.41
270,Lompoc,US,2023-01-29 08:33:54,34.6391,-120.4579,52.52,82,100,9.22
271,Aktash,RU,2023-01-29 08:33:56,50.3,87.7333,13.84,76,73,2.64
272,Wajima,JP,2023-01-29 08:34:58,37.4,136.9,34.48,93,75,3.44
273,Mujiayingzi,CN,2023-01-29 08:34:59,42.1167,118.7833,18.12,60,0,7.65
274,Sao Paulo De Olivenca,BR,2023-01-29 08:35:00,-3.3783,-68.8725,71.82,99,100,2.33
275,Tiznit,MA,2023-01-29 08:35:01,29.5833,-9.5,49.89,41,0,3.98
276,Cairns,AU,2023-01-29 08:35:03,-16.9167,145.7667,85.06,90,40,0.0
277,Saryg-Sep,RU,2023-01-29 08:35:05,51.5,95.6,6.35,94,100,2.42
278,Ndioum,SN,2023-01-29 08:35:07,16.5129,-14.6471,64.35,25,41,11.16
279,Ostrovnoy,RU,2023-01-29 08:35:08,68.0531,39.5131,25.48,84,80,20.02
280,Alice Springs,AU,2023-01-29 08:35:09,-23.7,133.8833,72.95,100,75,12.66
281,Sale,MA,2023-01-29 08:33:18,34.0389,-6.8166,46.63,87,40,0.0
282,Puerto Maldonado,PE,2023-01-29 08:35:11,-12.6,-69.1833,71.89,99,100,1.19
283,Gaoua,BF,2023-01-29 08:35:11,10.2992,-3.2508,78.84,10,59,7.61
284,Kattivakkam,IN,2023-01-29 08:35:12,13.2167,80.3167,86.09,63,11,14.67
285,Puerto Carreno,CO,2023-01-29 08:35:14,6.189,-67.4859,71.65,56,11,12.06
286,Oktyabrskoye,RU,2023-01-29 08:35:15,43.0645,44.7417,28.54,93,100,4.47
287,Freeport,US,2023-01-29 08:35:16,40.6576,-73.5832,45.97,82,40,4.61
288,Dubai,AE,2023-01-29 08:30:33,25.2582,55.3047,70.09,37,0,3.44
289,Dvinskoy,RU,2023-01-29 08:35:18,62.1535,45.1175,14.94,95,100,8.3
290,San Quintin,MX,2023-01-29 08:35:19,30.4833,-115.95,52.29,85,2,1.63
291,Fort Nelson,CA,2023-01-29 08:35:19,58.8053,-122.7002,-4.05,87,40,5.75
292,Trinidad,BO,2023-01-29 08:35:20,-14.8333,-64.9,72.25,99,100,2.46
